real real bad,,,,,,,,,,,
real real bad,,,,,,,,,,,
,Sample.ID,stage,length_um,Temp,OA,Salinity,Replicate,pH,Aragonite_saturation,random_fact,Age
252,14,larvae,74.69227105,Low,High,High,B,7.4,0.6,LHH_B,1
253,14,larvae,79.12648181,Low,High,High,B,7.4,0.6,LHH_B,1
254,14,larvae,74.33582153,Low,High,High,B,7.4,0.6,LHH_B,1
255,14,larvae,77.78990362,Low,High,High,B,7.4,0.6,LHH_B,1
256,14,larvae,70.04232631,Low,High,High,B,7.4,0.6,LHH_B,1
257,14,larvae,68.10616906,Low,High,High,B,7.4,0.6,LHH_B,1
258,14,larvae,72.18162388,Low,High,High,B,7.4,0.6,LHH_B,1
259,14,larvae,69.77109545,Low,High,High,B,7.4,0.6,LHH_B,1
260,14,larvae,77.82483833,Low,High,High,B,7.4,0.6,LHH_B,1
261,14,larvae,71.53100593,Low,High,High,B,7.4,0.6,LHH_B,1
262,14,larvae,79.94600937,Low,High,High,B,7.4,0.6,LHH_B,1
263,14,larvae,71.94999817,Low,High,High,B,7.4,0.6,LHH_B,1
264,14,larvae,67.6569339,Low,High,High,B,7.4,0.6,LHH_B,1
265,14,larvae,72.13780026,Low,High,High,B,7.4,0.6,LHH_B,1
266,14,larvae,76.13730279,Low,High,High,B,7.4,0.6,LHH_B,1
267,14,larvae,70.35837379,Low,High,High,B,7.4,0.6,LHH_B,1
268,14,larvae,75.75293503,Low,High,High,B,7.4,0.6,LHH_B,1
269,14,larvae,66.88905047,Low,High,High,B,7.4,0.6,LHH_B,1
270,14,larvae,71.78724442,Low,High,High,B,7.4,0.6,LHH_B,1
271,14,larvae,76.54372998,Low,High,High,B,7.4,0.6,LHH_B,1
272,14,larvae,76.1563103,Low,High,High,B,7.4,0.6,LHH_B,1
273,14,larvae,70.20118568,Low,High,High,B,7.4,0.6,LHH_B,1
274,14,larvae,72.52820078,Low,High,High,B,7.4,0.6,LHH_B,1
275,14,larvae,69.48283404,Low,High,High,B,7.4,0.6,LHH_B,1
276,14,larvae,75.71576604,Low,High,High,B,7.4,0.6,LHH_B,1
277,14,larvae,68.38760352,Low,High,High,B,7.4,0.6,LHH_B,1
278,14,larvae,74.00531279,Low,High,High,B,7.4,0.6,LHH_B,1
279,14,larvae,70.60965343,Low,High,High,B,7.4,0.6,LHH_B,1
280,14,larvae,75.57161869,Low,High,High,B,7.4,0.6,LHH_B,1
281,14,larvae,70.18416663,Low,High,High,B,7.4,0.6,LHH_B,1
282,14,larvae,71.42536641,Low,High,High,B,7.4,0.6,LHH_B,1
283,14,larvae,73.41147574,Low,High,High,B,7.4,0.6,LHH_B,1
284,14,larvae,74.05543017,Low,High,High,B,7.4,0.6,LHH_B,1
285,14,larvae,64.03151807,Low,High,High,B,7.4,0.6,LHH_B,1
286,14,larvae,76.16240807,Low,High,High,B,7.4,0.6,LHH_B,1
287,14,larvae,75.1769158,Low,High,High,B,7.4,0.6,LHH_B,1
288,14,larvae,67.76874303,Low,High,High,B,7.4,0.6,LHH_B,1
289,14,larvae,72.39725993,Low,High,High,B,7.4,0.6,LHH_B,1
290,14,larvae,76.90632749,Low,High,High,B,7.4,0.6,LHH_B,1
291,14,larvae,68.95355934,Low,High,High,B,7.4,0.6,LHH_B,1
292,14,larvae,79.73814154,Low,High,High,B,7.4,0.6,LHH_B,1
293,14,larvae,75.45328927,Low,High,High,B,7.4,0.6,LHH_B,1
294,14,larvae,70.32165414,Low,High,High,B,7.4,0.6,LHH_B,1
295,14,larvae,71.78649958,Low,High,High,B,7.4,0.6,LHH_B,1
296,14,larvae,71.90588509,Low,High,High,B,7.4,0.6,LHH_B,1
297,14,larvae,77.09582231,Low,High,High,B,7.4,0.6,LHH_B,1
298,14,larvae,71.66598689,Low,High,High,B,7.4,0.6,LHH_B,1
299,14,larvae,75.00560033,Low,High,High,B,7.4,0.6,LHH_B,1
300,14,larvae,73.22972471,Low,High,High,B,7.4,0.6,LHH_B,1
301,15,larvae,69.4977589,Low,High,High,C,7.4,0.6,LHH_C,1
302,15,larvae,69.19860407,Low,High,High,C,7.4,0.6,LHH_C,1
303,15,larvae,72.19917684,Low,High,High,C,7.4,0.6,LHH_C,1
304,15,larvae,69.79258236,Low,High,High,C,7.4,0.6,LHH_C,1
305,15,larvae,73.38034178,Low,High,High,C,7.4,0.6,LHH_C,1
306,15,larvae,72.06277266,Low,High,High,C,7.4,0.6,LHH_C,1
307,15,larvae,72.8694308,Low,High,High,C,7.4,0.6,LHH_C,1
308,15,larvae,67.76381833,Low,High,High,C,7.4,0.6,LHH_C,1
309,15,larvae,68.302592,Low,High,High,C,7.4,0.6,LHH_C,1
310,15,larvae,71.31870601,Low,High,High,C,7.4,0.6,LHH_C,1
311,15,larvae,73.59708992,Low,High,High,C,7.4,0.6,LHH_C,1
312,15,larvae,69.39315646,Low,High,High,C,7.4,0.6,LHH_C,1
313,15,larvae,69.85472337,Low,High,High,C,7.4,0.6,LHH_C,1
314,15,larvae,68.97869416,Low,High,High,C,7.4,0.6,LHH_C,1
315,15,larvae,67.94942587,Low,High,High,C,7.4,0.6,LHH_C,1
316,15,larvae,72.16764677,Low,High,High,C,7.4,0.6,LHH_C,1
